school,scholarships,other,year,total_expenses,building_and_grounds,coaching_staff
Purdue,10745166,21050144,2014,74604756,16100881,26708565
Purdue,10228369,23768290,2013,74628002,15116028,25515315
Purdue,9595823,20936713,2012,68056269,14074309,23449424
Purdue,9362665,18083609,2011,59429383,10850822,21132287
Purdue,8577399,17846461,2010,58365143,11545426,20395857
Purdue,7745956,18817927,2009,57707608,10687204,20456521
Purdue,7231660,22710665,2008,59217169,9926031,19348813
Purdue,6918469,21712571,2007,55786246,10131671,17023535
Purdue,6540231,19678733,2006,51826232,9702169,15905099
Purdue,5989644,20039238,2005,51500109,10834255,14636972
North Carolina State,9133726,18369213,2014,63958569,10209213,26246417
North Carolina State,8747297,18229670,2013,63137393,9554135,26606291
North Carolina State,8260486,16506264,2012,56332313,9508760,22056803
North Carolina State,8074335,14717658,2011,50560564,8640791,19127780
North Carolina State,7481209,14298276,2010,45880314,8302958,15797871
North Carolina State,7541852,15457863,2009,48349169,9952581,15396873
North Carolina State,5804074,14279326,2008,43892285,8979349,14829536
North Carolina State,6238485,13853987,2007,43294143,8269705,14931966
North Carolina State,6404583,16567005,2006,42463462,6383422,13108452
North Carolina State,5908478,15247856,2005,37048794,5140625,10751835
Georgia Tech,9019420,19417850,2014,68818267,18231553,22149444
Georgia Tech,8930242,19615723,2013,63630961,13933229,21151767
Georgia Tech,8622703,20865575,2012,61179789,11518516,20172995
Georgia Tech,7284161,16644820,2011,55065262,12197812,18938469
Georgia Tech,7669750,17313987,2010,55221082,11929118,18308227
Georgia Tech,7536782,18749633,2009,56026127,11259598,18480114
Georgia Tech,7013578,18323667,2008,54800099,12563234,16899620
Georgia Tech,6289276,15066327,2007,49725966,11313044,17057319
Georgia Tech,6276702,13186204,2006,48696486,13648889,15584691
Georgia Tech,6271394,15152506,2005,40942114,8683982,10834232
Iowa State,7231338,20562261,2014,67967712,18783277,21390836
Iowa State,6965124,20072723,2013,62224194,14480464,20705883
Iowa State,7182024,18831098,2012,55113720,11515257,17585341
Iowa State,6698901,16454315,2011,48469929,9490250,15826463
Iowa State,6082108,16819564,2010,46656014,8879008,14875334
Iowa State,6045548,16294792,2009,45768048,8845144,14582564
Iowa State,5404874,14278602,2008,38642012,5450931,13507605
Iowa State,5256097,17707655,2007,42123353,6110926,13048674
Iowa State,4823081,13282526,2006,33341962,3165626,12070729
Iowa State,4308635,9396773,2005,28227582,3381114,11141060
Colorado,9492841,20632252,2014,64303100,11498951,22679056
Colorado,8817918,24387547,2013,66327497,12117717,21004315
Colorado,8055731,17858853,2012,54257246,10250626,18092036
Colorado,7393107,26352831,2011,59186620,8107708,17332974
Colorado,6935990,17569067,2010,48590915,8541310,15544548
Colorado,6452189,15984232,2009,48207321,9201000,16569900
Colorado,6351417,16282524,2008,48368255,10220984,15513330
Colorado,6144571,12838249,2007,39703408,8003419,12717169
Colorado,6165776,18413309,2006,45731542,8748203,12404254
